id,version,processing_date,url,name,registration_number,domain,website,website_status,number_of_about_pages,number_of_contact_pages,number_of_management_pages,number_of_product_pages,year_founded,incorporation_date,number_of_registered_officers,number_of_key_persons,number_of_partners,number_of_clients,number_of_emails,number_of_ip_addresses,total_changes,address_changes,alias_changes,assoc_investor_changes,ch_changes,client_changes,description_changes,email_changes,fax_changes,founded_year_changes,investor_changes,ip_address_changes,linked_domain_changes,name_changes,page_content_changes,page_structure_changes,partner_changes,person_changes,phone_changes,primary_contact_changes,registration_number_changes,robots_changes,ticker_changes,vat_changes,web_status_changes
8091939,10,2013-10-19,http://endb-consolidated.aihit.com/007B79230000000A/overview.htm,"Peneo","",peneo.com,"www.peneo.com","OK",0,1,0,0,-1,,-1,0,0,0,0,1,17,0,1,0,0,0,0,0,0,0,0,0,1,0,4,9,0,0,0,0,0,2,0,0,0
9206162,10,2013-10-19,http://endb-consolidated.aihit.com/008C79920000000A/overview.htm,"Trudy's Hallmark","",trudyshallmark.com,"trudyshallmark.com","OK",1,2,0,3,1982,,-1,0,0,0,21,1,15,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,1,0,0,0
8318144,10,2013-10-19,http://endb-consolidated.aihit.com/007EECC00000000A/overview.htm,"Pro-Tech Home Medical Products","",protechdelivers.com,"www.protechdelivers.com","OK",1,2,0,17,1983,,-1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,1,0,0,0
4784881,13,2013-10-19,http://endb-consolidated.aihit.com/004902F10000000D/overview.htm,"ART TECK LIMITED","08277663",,"","",0,0,0,0,-1,2012-11-01,2,2,0,0,0,0,15,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
15052894,1,2013-10-19,http://endb-consolidated.aihit.com/00E5B05E00000001/overview.htm,"seoplannings com","",seoplannings.com,"seoplannings.com","OK",0,0,0,0,-1,,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5758989,10,2013-10-19,http://endb-consolidated.aihit.com/0057E00D0000000A/overview.htm,"Canadian Halal Food","",canadianhalalfoods.com,"www.canadianhalalfoods.com","OK",1,1,0,0,1973,,-1,3,0,0,2,1,21,1,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,3,0,0,3,0,0,0
4973114,11,2013-10-19,http://endb-consolidated.aihit.com/004BE23A0000000B/overview.htm,"ssh self drive","",sshselfdrive.com,"www.sshselfdrive.com","OK",1,1,0,0,2005,,-1,1,0,0,1,1,29,2,0,0,0,0,0,0,0,0,0,2,1,0,17,4,0,0,0,0,0,1,0,0,2
9321432,10,2013-10-19,http://endb-consolidated.aihit.com/008E3BD80000000A/overview.htm,"John A","",vbosch.com,"www.vbosch.com","OK",0,1,0,0,-1,,-1,0,0,0,1,1,37,1,0,0,0,0,0,1,1,0,0,0,0,0,24,0,0,0,7,1,0,1,0,0,0
290769,19,2013-10-19,http://endb-consolidated.aihit.com/00046FD100000013/overview.htm,"Ian Foley","",ianfoley.co.uk,"www.ianfoley.co.uk","OK",0,0,0,0,-1,,-1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
11803907,7,2013-10-19,http://endb-consolidated.aihit.com/00B41D0300000007/overview.htm,"CATS","",catsnv.com,"www.catsnv.com","Unavailable",1,1,1,0,-1,,-1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
