company_id,tag
8091939,"technology"
5758989,"Halal certifying"
10485152,"Disadvantaged"
14084977,"interiors"
9719731,"wholesale supply"
12676770,"web design"
5210859,"computer repair and IT support"
7504983,"travel"
10140008,"consulting"
5139366,"Aon Community"
13434192,"engineering services"
6834859,"marketing and sales"
5750519,"catering"
8659047,"leasing"
13307750,"infrastructures developing"
13948165,"accounting"
11761108,"law"
12804914,"consultancy"
9605209,"Building And Civil Engineering"
9006111,"Software Development"
5577538,"oil"
3554910,"design"
13982119,"general practice"
10180724,"repair"
7766636,"management search"
6263037,"law"
3711917,"estate"
11487133,"car"
7747244,"estate"
7021876,"product design"
9776258,"financial institution consulting"
7255804,"Media"
6720125,"lending"
6746554,"practice consultancy and project management"
6746554,"service"
6339526,"Eagle Products"
6339526,"manufacturing"
11044385,"share trading education"
8181098,"plate"
11566596,"marketing"
10475231,"financial planning"
9391519,"Mortgage"
3304290,"property investment"
6344052,"estate service"
9907106,"landscaping"
10909696,"insurance"
8815801,"civil and defence systems"
7307526,"kiosk"
10513234,"law"
9799147,"immediate care"
12622178,"appliance repair"
13975908,"garment accessory"
12243417,"Visual Communication"
8079693,"Trader and Service"
7921807,"career placement"
12067012,"Employment Network"
5539368,"web development and design"
12458688,"immigration service"
4765491,"music PR"
12848169,"biomass boiler"
13377303,"IT services"
5249058,"economic development and consulting"
7711958,"hydrographic survey"
9043075,"product development"
12838431,"social service"
11353083,"used car"
5163919,"holding"
8249114,"promotional"
11664530,"landscape design"
5550652,"bedroom furniture"
6449184,"Engineering"
8609917,"automation"
8609917,"engineering"
7230383,"joinery"
4405520,"Law"
5092678,"Marquee"
10596647,"internet marketing"
11735432,"IT support and maintenance service"
6805361,"wine"
7005221,"HR consulting"
13764161,"law"
8856176,"gift and stationery"
6357056,"service"
15023525,"Solutions"
9652951,"training"
6265454,"software"
9422326,"software"
12114224,"portfolio management"
12103064,"pump"
9459054,"Software Development"
9459054,"service oriented"
7209484,"consulting and investment"
7664653,"law"
13944491,"logistics"
12621305,"science and technology"
6666688,"B2C"
12209055,"transportation"
7657822,"non-profit"
10965809,"immigration law"
12739166,"trading"
7636176,"computer hardware and software"
