company_id,type,country,authority,registration_number
4784881,"CompanyRegistrationNumber","United Kingdom","Companies House","08277663"
1629341,"CompanyRegistrationNumber","United Kingdom","Companies House","06104024"
4199791,"CompanyRegistrationNumber","United Kingdom","Companies House","08105302"
2616918,"CompanyRegistrationNumber","United Kingdom","Companies House","07748154"
1156094,"CompanyRegistrationNumber","United Kingdom","Companies House","04656908"
2636323,"CompanyRegistrationNumber","United Kingdom","Companies House","07769231"
10441384,"CompanyRegistrationNumber","","","HRB 7791"
13563222,"CompanyRegistrationNumber","United Kingdom","Companies House","08609983"
2977070,"CompanyRegistrationNumber","United Kingdom","Companies House","NI013853"
13589320,"CompanyRegistrationNumber","United Kingdom","Companies House","08636915"
11237802,"CompanyRegistrationNumber","United Kingdom","Companies House","08451569"
1316235,"CompanyRegistrationNumber","United Kingdom","Companies House","05168159"
504079,"CompanyRegistrationNumber","United Kingdom","Companies House","01024378"
3019062,"CompanyRegistrationNumber","United Kingdom","Companies House","OC315114"
2444613,"CompanyRegistrationNumber","United Kingdom","Companies House","07558849"
2812984,"CompanyRegistrationNumber","United Kingdom","Companies House","07958954"
137369,"CompanyRegistrationNumber","United Kingdom","Companies House","05226202"
13601868,"CompanyRegistrationNumber","United Kingdom","Companies House","08649851"
2613537,"CompanyRegistrationNumber","United Kingdom","Companies House","07744476"
1186002,"CompanyRegistrationNumber","United Kingdom","Companies House","04742771"
8810005,"CompanyRegistrationNumber","","","HRB 7414"
2850966,"CompanyRegistrationNumber","United Kingdom","Companies House","07998091"
11217044,"CompanyRegistrationNumber","United Kingdom","Companies House","08429950"
814171,"CompanyRegistrationNumber","United Kingdom","Companies House","03294415"
810161,"CompanyRegistrationNumber","United Kingdom","Companies House","03274873"
2460690,"CompanyRegistrationNumber","United Kingdom","Companies House","07576713"
9580057,"CompanyRegistrationNumber","United Kingdom","Companies House","08407585"
1966665,"CompanyRegistrationNumber","United Kingdom","Companies House","06857465"
9730681,"CompanyRegistrationNumber","","","8626"
4995896,"CompanyRegistrationNumber","United Kingdom","Companies House","08358261"
3250450,"CompanyRegistrationNumber","United Kingdom","Companies House","SC367809"
1912735,"CompanyRegistrationNumber","United Kingdom","Companies House","06756860"
584564,"CompanyRegistrationNumber","United Kingdom","Companies House","01789685"
706315,"CompanyRegistrationNumber","United Kingdom","Companies House","02701265"
689359,"CompanyRegistrationNumber","United Kingdom","Companies House","02593675"
2696048,"CompanyRegistrationNumber","United Kingdom","Companies House","07833865"
