,manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class,cnt
1,audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact,1
2,audi,a4,1.8,1999,4,manual(m5),f,21,29,p,compact,1
3,audi,a4,2,2008,4,manual(m6),f,20,31,p,compact,1
4,audi,a4,2,2008,4,auto(av),f,21,30,p,compact,1
5,audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact,1
6,audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact,1
7,audi,a4,3.1,2008,6,auto(av),f,18,27,p,compact,1
8,audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact,1
9,audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact,1
10,audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact,1
11,audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compact,1
12,audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact,1
13,audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compact,1
14,audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact,1
15,audi,a4 quattro,3.1,2008,6,manual(m6),4,15,25,p,compact,1
16,audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize,1
17,audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize,1
18,audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize,1
19,chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv,1
20,chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv,1
21,chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv,1
22,chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv,1
23,chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),r,12,17,r,suv,1
24,chevrolet,corvette,5.7,1999,8,manual(m6),r,16,26,p,2seater,1
25,chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater,1
26,chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater,1
27,chevrolet,corvette,6.2,2008,8,auto(s6),r,15,25,p,2seater,1
28,chevrolet,corvette,7,2008,8,manual(m6),r,15,24,p,2seater,1
29,chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv,1
30,chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv,1
31,chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv,1
32,chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv,1
33,chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize,1
34,chevrolet,malibu,2.4,2008,4,auto(l4),f,22,30,r,midsize,1
35,chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize,1
36,chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize,1
37,chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize,1
38,dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan,1
39,dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,r,minivan,1
40,dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan,1
41,dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan,1
42,dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan,1
43,dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan,1
44,dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan,1
45,dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan,1
46,dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan,1
47,dodge,caravan 2wd,3.8,2008,6,auto(l6),f,16,23,r,minivan,1
48,dodge,caravan 2wd,4,2008,6,auto(l6),f,16,23,r,minivan,1
49,dodge,dakota pickup 4wd,3.7,2008,6,manual(m6),4,15,19,r,pickup,1
