id,Hazard
6,0.28
7,0.08
8,0.24
9,0.2
10,0.0
11,0.16
13,0.04
14,0.12
16,0.24
17,0.04
18,0.12
20,0.04
27,0.08
28,0.12
29,0.12
30,0.12
34,0.16
35,0.04
36,0.2
37,0.2
38,0.12
40,0.4
42,0.0
46,0.12
47,0.24
48,0.04
49,0.16
51,0.12
52,0.08
53,0.04
54,0.08
55,0.16
56,0.08
57,0.12
60,0.04
61,0.0
64,0.12
65,0.16
66,0.08
68,0.12
70,0.12
71,0.24
75,0.24
76,0.12
78,0.08
80,0.24
81,0.2
82,0.24
83,0.04
85,0.0
86,0.08
87,0.12
89,0.12
90,0.12
91,0.04
92,0.16
95,0.12
97,0.12
99,0.2
101,0.16
102,0.16
103,0.04
104,0.12
107,0.08
108,0.16
111,0.04
112,0.0
115,0.16
119,0.08
121,0.16
124,0.04
128,0.2
130,0.08
131,0.12
133,0.2
134,0.08
137,0.08
138,0.2
142,0.12
143,0.32
144,0.0
145,0.32
147,0.08
148,0.2
152,0.04
154,0.08
158,0.04
159,0.08
160,0.04
161,0.32
164,0.2
165,0.04
166,0.08
167,0.12
169,0.12
170,0.08
171,0.12
175,0.2
177,0.2
178,0.2
180,0.08
182,0.16
184,0.08
185,0.12
186,0.16
190,0.2
191,0.24
192,0.2
195,0.2
196,0.0
197,0.12
198,0.04
199,0.0
200,0.16
204,0.08
205,0.08
207,0.16
208,0.04
209,0.08
211,0.16
216,0.12
217,0.04
220,0.36
223,0.2
224,0.0
230,0.2
232,0.08
235,0.08
236,0.2
238,0.16
240,0.04
242,0.12
244,0.12
245,0.04
248,0.04
251,0.08
256,0.2
258,0.12
259,0.16
261,0.2
267,0.28
268,0.24
270,0.0
272,0.04
273,0.12
275,0.08
276,0.04
277,0.16
279,0.28
283,0.24
284,0.16
286,0.04
287,0.16
288,0.2
289,0.08
292,0.08
293,0.24
295,0.2
297,0.12
301,0.12
303,0.08
304,0.2
305,0.08
308,0.08
309,0.0
313,0.04
314,0.0
315,0.08
316,0.12
318,0.16
320,0.08
324,0.04
325,0.2
326,0.08
327,0.12
328,0.12
332,0.12
333,0.24
336,0.08
339,0.16
340,0.08
342,0.04
344,0.04
345,0.16
346,0.04
349,0.12
353,0.04
355,0.2
360,0.08
363,0.08
366,0.04
367,0.04
369,0.12
371,0.12
372,0.16
374,0.08
375,0.08
378,0.28
379,0.08
381,0.08
382,0.04
384,0.12
385,0.04
387,0.08
388,0.28
389,0.2
390,0.0
393,0.04
394,0.04
395,0.04
397,0.0
398,0.0
399,0.04
403,0.2
404,0.0
406,0.08
407,0.04
410,0.04
411,0.28
412,0.0
413,0.28
417,0.16
419,0.04
422,0.12
425,0.0
426,0.24
427,0.04
432,0.16
434,0.04
437,0.24
438,0.08
440,0.08
441,0.12
443,0.12
445,0.08
447,0.2
449,0.08
450,0.08
451,0.04
453,0.12
455,0.32
456,0.08
459,0.2
461,0.08
463,0.08
466,0.04
467,0.2
469,0.08
470,0.08
472,0.04
477,0.12
481,0.08
485,0.16
492,0.04
494,0.08
497,0.12
503,0.08
504,0.16
507,0.16
509,0.2
511,0.08
512,0.16
513,0.08
516,0.24
517,0.12
518,0.12
522,0.16
525,0.04
526,0.12
527,0.04
529,0.04
534,0.04
538,0.04
540,0.08
541,0.16
542,0.2
543,0.04
544,0.0
546,0.24
547,0.24
550,0.04
554,0.16
556,0.08
558,0.24
559,0.12
560,0.16
564,0.2
565,0.12
566,0.16
567,0.12
568,0.12
570,0.24
571,0.04
575,0.08
576,0.12
585,0.12
586,0.28
589,0.2
590,0.08
591,0.28
593,0.08
594,0.12
595,0.16
596,0.16
597,0.2
598,0.24
599,0.08
600,0.0
601,0.12
609,0.16
613,0.12
619,0.32
620,0.12
621,0.08
622,0.12
623,0.16
625,0.12
626,0.16
628,0.2
629,0.08
633,0.16
634,0.16
635,0.04
636,0.16
637,0.16
638,0.08
639,0.08
640,0.12
643,0.04
645,0.16
646,0.08
647,0.12
649,0.12
650,0.24
654,0.16
656,0.04
657,0.2
661,0.04
662,0.12
663,0.04
664,0.24
667,0.2
668,0.0
672,0.04
673,0.2
675,0.08
676,0.0
677,0.2
678,0.08
679,0.04
682,0.08
684,0.24
686,0.16
687,0.04
688,0.12
689,0.08
690,0.08
691,0.16
693,0.08
694,0.12
695,0.2
696,0.16
699,0.04
702,0.24
703,0.04
704,0.12
705,0.16
708,0.32
709,0.12
710,0.0
711,0.16
712,0.12
713,0.0
714,0.12
724,0.08
725,0.16
727,0.04
729,0.12
731,0.08
732,0.08
735,0.04
736,0.08
738,0.12
739,0.24
741,0.08
744,0.24
745,0.2
749,0.16
750,0.16
753,0.08
754,0.16
756,0.0
759,0.12
763,0.2
764,0.2
765,0.2
770,0.04
773,0.24
774,0.12
778,0.16
780,0.16
781,0.12
783,0.08
784,0.28
790,0.04
791,0.2
792,0.08
793,0.16
794,0.12
795,0.04
796,0.08
801,0.0
802,0.12
805,0.12
808,0.08
809,0.12
813,0.04
814,0.04
815,0.0
816,0.16
817,0.08
821,0.16
822,0.12
823,0.08
825,0.28
826,0.04
830,0.04
832,0.2
833,0.12
835,0.2
837,0.12
838,0.08
839,0.08
841,0.04
842,0.24
844,0.04
853,0.12
855,0.04
858,0.04
859,0.08
860,0.04
861,0.24
862,0.12
868,0.16
869,0.08
874,0.16
875,0.12
877,0.08
879,0.08
885,0.08
886,0.0
887,0.28
892,0.12
894,0.12
896,0.12
898,0.28
899,0.12
900,0.08
901,0.08
903,0.08
904,0.2
906,0.16
907,0.08
908,0.04
909,0.08
915,0.12
916,0.04
917,0.08
921,0.12
922,0.08
923,0.08
924,0.0
927,0.08
929,0.0
932,0.28
934,0.16
935,0.16
937,0.2
940,0.28
944,0.12
946,0.0
948,0.04
950,0.12
952,0.12
953,0.04
956,0.04
959,0.16
960,0.12
961,0.04
962,0.08
966,0.32
968,0.08
969,0.08
971,0.12
972,0.08
978,0.08
983,0.16
984,0.08
985,0.28
987,0.24
988,0.08
989,0.16
991,0.24
992,0.24
993,0.08
997,0.04
999,0.12
1003,0.08
1006,0.04
1007,0.16
1013,0.16
1015,0.32
1016,0.08
1017,0.16
1018,0.12
1019,0.16
1020,0.08
1021,0.28
1023,0.16
1025,0.08
1027,0.08
1028,0.08
1029,0.08
1032,0.04
1035,0.12
1039,0.08
1040,0.16
1041,0.16
1043,0.04
1045,0.04
1046,0.04
1049,0.08
1054,0.12
1056,0.08
1057,0.12
1058,0.04
1060,0.28
1061,0.16
1062,0.08
1063,0.16
1066,0.12
1071,0.16
1072,0.12
1076,0.0
1077,0.12
1078,0.08
1082,0.04
1083,0.12
1085,0.2
1086,0.12
1088,0.2
1089,0.16
1090,0.2
1093,0.08
1094,0.08
1095,0.12
1096,0.16
1097,0.08
1098,0.04
1103,0.2
1104,0.12
1109,0.16
1110,0.08
1111,0.08
1113,0.04
1114,0.12
1115,0.08
1117,0.04
1118,0.2
1121,0.12
1122,0.12
1124,0.12
1125,0.08
1126,0.08
1127,0.04
1128,0.04
1130,0.2
1132,0.04
1135,0.28
1136,0.04
1139,0.04
1140,0.08
1141,0.12
1147,0.08
1150,0.12
1152,0.04
1154,0.16
1157,0.08
1158,0.04
1160,0.0
1162,0.16
1163,0.32
1164,0.04
1171,0.2
1173,0.04
1174,0.08
1176,0.32
1178,0.16
1182,0.16
1185,0.04
1188,0.16
1189,0.08
1192,0.16
1194,0.08
1195,0.16
1199,0.12
1200,0.08
1203,0.04
1204,0.08
1206,0.08
1209,0.16
1214,0.08
1215,0.12
1217,0.08
1219,0.0
1220,0.16
1221,0.04
1222,0.12
1223,0.16
1225,0.2
1226,0.16
1228,0.04
1229,0.16
1231,0.04
1233,0.2
1234,0.04
1235,0.08
1236,0.08
1238,0.04
1240,0.16
1241,0.12
1242,0.0
1244,0.04
1245,0.16
1248,0.12
1250,0.08
1251,0.16
1252,0.12
1253,0.12
1255,0.08
1258,0.2
1261,0.12
1262,0.04
1267,0.2
1268,0.12
1270,0.12
1271,0.08
1274,0.04
1275,0.12
1276,0.04
1277,0.12
1279,0.16
1280,0.12
1281,0.16
1282,0.0
1285,0.2
1289,0.08
1293,0.04
1294,0.2
1295,0.04
1296,0.04
1298,0.16
1300,0.08
1301,0.04
1302,0.24
1303,0.2
1304,0.04
1306,0.08
1308,0.08
1311,0.12
1312,0.24
1313,0.2
1314,0.16
1315,0.08
1316,0.16
1317,0.08
1319,0.12
1320,0.04
1321,0.12
1322,0.28
1324,0.0
1326,0.12
1327,0.16
1328,0.04
1329,0.12
1330,0.08
1332,0.12
1333,0.04
1334,0.16
1335,0.2
1336,0.12
1339,0.16
1344,0.12
1346,0.12
1350,0.16
1351,0.16
