iter	Logloss
0	0.6824785849
1	0.6734887104
2	0.6640058833
3	0.6548542296
4	0.6461696893
5	0.6358900904
6	0.627765176
7	0.620036198
8	0.6133247493
9	0.6061230573
10	0.5997851719
11	0.593609623
12	0.5867909036
13	0.5808968501
14	0.5746294981
15	0.5682868841
16	0.5621030036
17	0.5577490361
18	0.551639728
19	0.5488012533
20	0.5440032196
21	0.539959905
22	0.5367183084
23	0.5322562195
24	0.5299664621
25	0.5263688362
26	0.5218204266
27	0.5193341823
28	0.5143807291
29	0.5095338105
30	0.5065911273
31	0.5031786635
32	0.5015221119
33	0.4999023084
34	0.4979634946
35	0.4956430807
36	0.4926248481
37	0.488721079
38	0.4865193164
39	0.4838855926
40	0.4814822631
41	0.4795954673
42	0.4768325488
43	0.4755928019
44	0.4726196231
45	0.4704927696
46	0.4701513904
47	0.4685790972
48	0.4656118651
49	0.4646660219
50	0.4623361234
51	0.4603237053
52	0.4582836782
53	0.4563743341
54	0.4544646349
55	0.452260817
56	0.4504988643
57	0.4476091328
58	0.4449291972
59	0.4428074702
60	0.4416508805
61	0.4402096928
62	0.4393620431
63	0.4373497386
64	0.4354283237
65	0.4340138704
66	0.4322665283
67	0.4303911531
68	0.4289563283
69	0.4263440075
70	0.4253357523
71	0.4243237643
72	0.4230007015
73	0.4217249291
74	0.4194608841
75	0.4186411379
76	0.4177560595
77	0.4161900465
78	0.4141008181
79	0.412364549
80	0.411045608
81	0.4097993652
82	0.4089354741
83	0.40827135
84	0.4070108295
85	0.4060068408
86	0.4044793066
87	0.4035778219
88	0.4028280109
89	0.4014997595
90	0.4005073328
91	0.3989800666
92	0.3973578205
93	0.3960412718
94	0.3941955035
95	0.3933867285
96	0.3919040214
97	0.3909695857
98	0.3898695054
99	0.3885881882
100	0.3878249864
101	0.3869451726
102	0.3859285707
103	0.3847684091
104	0.3838605851
105	0.3822898299
106	0.3818052049
107	0.3808872361
108	0.3800884125
109	0.3783747703
110	0.3780148576
111	0.3763188859
112	0.3752441679
113	0.3737184252
114	0.37222303
115	0.371171554
116	0.370701729
117	0.3695893385
118	0.3686707105
119	0.3672096273
120	0.3665787255
121	0.365110284
122	0.364396893
123	0.3635866522
124	0.3627377587
125	0.3617004191
126	0.3611845951
127	0.3605291423
128	0.3598644782
129	0.3596476463
130	0.3587374602
131	0.3580346058
132	0.3567212883
133	0.3560256943
134	0.3551679823
135	0.3542985261
136	0.3533238937
137	0.3523417687
138	0.3518932159
139	0.3512290104
140	0.3504529655
141	0.3495372011
142	0.3490708641
143	0.3478871026
144	0.3472067734
145	0.3465495268
146	0.3450079738
147	0.3446528849
148	0.3438654051
149	0.3430159847
150	0.342616451
151	0.3420658785
152	0.340777012
153	0.3405737653
154	0.3393048724
155	0.3389499119
156	0.3376926866
157	0.3363423915
158	0.3349342258
159	0.3342363042
160	0.3333045023
161	0.3328752233
162	0.3311793088
163	0.3304801469
164	0.3300546069
165	0.3296385925
166	0.328109417
167	0.3272314448
168	0.3262862235
169	0.3256675034
170	0.3250368435
171	0.3244483817
172	0.3238602228
173	0.3229123618
174	0.3217816867
175	0.3206875918
176	0.3199605947
177	0.3187466011
178	0.3182069964
179	0.3173126379
180	0.3168731807
181	0.316230088
182	0.3156158457
183	0.3150285531
184	0.3145523512
185	0.3138120598
186	0.3132436611
187	0.3127583889
188	0.3122718125
189	0.3114522658
190	0.3111908492
191	0.3108095991
192	0.3097671104
193	0.3087411695
194	0.3079519766
195	0.3071742605
196	0.3066673371
197	0.3059185074
198	0.3054726283
199	0.3048367976
200	0.3038512954
201	0.3030934086
202	0.3022171941
203	0.3012879853
204	0.3002270657
205	0.2996172472
206	0.2988123348
207	0.2978868446
208	0.2971673131
209	0.2966115268
210	0.2961270378
211	0.2952701418
212	0.2944827863
213	0.2941614822
214	0.2932772712
215	0.2930491265
216	0.292571726
217	0.2917784354
218	0.2912882209
219	0.2905435264
220	0.2896503143
221	0.2882845916
222	0.2872622105
223	0.2868176237
224	0.2861509428
225	0.2848217181
226	0.284346812
227	0.2834602357
228	0.2830863351
229	0.2823396157
230	0.2812443962
231	0.2803891337
232	0.2797687791
233	0.2792424498
234	0.2786329973
235	0.2780452456
236	0.2775472924
237	0.2767613893
238	0.2761348845
239	0.2756785309
240	0.274823475
241	0.274117921
242	0.2733891525
243	0.2724885991
244	0.2721110894
245	0.2708590536
246	0.2706875883
247	0.2704453731
248	0.2700487487
249	0.2697989178
250	0.2687449903
251	0.2684649453
252	0.2679726774
253	0.2672573919
254	0.2663884169
255	0.2659633892
256	0.2654468832
257	0.2647593404
258	0.2645331999
259	0.2637617944
260	0.2631848545
261	0.2624335463
262	0.2622378071
263	0.2612352165
264	0.2608953053
265	0.2606546241
266	0.2599662915
267	0.2595672803
268	0.2590269862
269	0.2587891794
270	0.258130537
271	0.2580501171
272	0.2572537171
273	0.2568259337
274	0.2563218598
275	0.2559381897
276	0.255111475
277	0.2543187855
278	0.2535710498
279	0.2532482997
280	0.2526785305
281	0.2521967882
282	0.2511974865
283	0.2507563874
284	0.2497666237
285	0.2487606724
286	0.247773393
287	0.2474091614
288	0.2469576203
289	0.2463576415
290	0.2455374685
291	0.2449591227
292	0.2442179168
293	0.2433997446
294	0.2423347093
295	0.2416200107
296	0.2407470322
297	0.2399944764
298	0.2393851011
299	0.2385041636
300	0.2377425439
301	0.2371073455
302	0.236968363
303	0.2368214271
304	0.2361760986
305	0.2355570729
306	0.2349521894
307	0.234707898
308	0.2340100583
309	0.2337198959
310	0.232760093
311	0.2320490947
312	0.2313182763
313	0.2310792833
314	0.2304162753
315	0.2293030653
316	0.2289133754
317	0.2283765072
318	0.2275766212
319	0.2271180538
320	0.226987989
321	0.2266722975
322	0.2264556033
323	0.225660906
324	0.2250361158
325	0.2249393892
326	0.2242761314
327	0.2234730134
328	0.2231024608
329	0.2229821728
330	0.2225879213
331	0.2224218455
332	0.222201296
333	0.2219309109
334	0.2218247375
335	0.2213756242
336	0.2209865632
337	0.220154837
338	0.2200446813
339	0.2199639716
340	0.2197773472
341	0.2188908054
342	0.2184976228
343	0.2181752387
344	0.21755442
345	0.216978862
346	0.2163763162
347	0.2160293418
348	0.2153135309
349	0.2145640036
350	0.2138460924
351	0.2132139186
352	0.2126799891
353	0.2124672232
354	0.2120387703
355	0.2115967515
356	0.2110508132
357	0.210473181
358	0.2101420553
359	0.2100059902
360	0.2098139715
361	0.2096643211
362	0.2090168442
363	0.2086070386
364	0.2082906159
365	0.2073409024
366	0.2067397955
367	0.206629622
368	0.2062083466
369	0.2060784812
370	0.2059696225
371	0.205877961
372	0.2052993861
373	0.204432924
374	0.2039631255
375	0.2037045286
