iter	Passed	Remaining
0	10	10665
1	12	6342
2	15	5155
3	18	4571
4	21	4221
5	23	3926
6	26	3689
7	27	3462
8	29	3275
9	31	3108
10	33	2967
11	34	2842
12	36	2740
13	37	2651
14	39	2581
15	40	2509
16	42	2448
17	43	2394
18	45	2342
19	46	2267
20	47	2225
21	49	2189
22	50	2144
23	52	2118
24	53	2076
25	54	2049
26	56	2031
27	57	2011
28	59	1989
29	60	1971
30	62	1953
31	64	1936
32	65	1910
33	66	1882
34	67	1868
35	69	1851
36	70	1832
37	71	1816
38	72	1796
39	74	1785
40	75	1772
41	77	1759
42	78	1747
43	79	1729
44	80	1718
45	82	1710
46	83	1685
47	84	1678
48	86	1672
49	87	1667
50	89	1661
51	90	1654
52	92	1648
53	93	1641
54	95	1634
55	96	1626
56	97	1618
57	99	1611
58	100	1603
59	101	1596
60	103	1589
61	104	1582
62	105	1575
63	107	1569
64	108	1563
65	109	1556
66	111	1550
67	113	1551
68	114	1545
69	115	1538
70	117	1533
71	118	1527
72	119	1521
73	121	1515
74	122	1510
75	123	1505
76	125	1500
77	126	1495
78	127	1489
79	129	1485
80	130	1480
81	131	1475
82	133	1470
83	134	1465
84	135	1461
85	137	1456
86	138	1452
87	139	1447
88	141	1443
89	142	1439
90	143	1435
91	145	1431
92	146	1426
93	147	1422
94	148	1419
95	150	1415
96	151	1411
97	153	1411
98	154	1409
99	156	1407
100	157	1406
101	159	1402
102	160	1399
103	162	1396
104	163	1396
105	165	1393
106	166	1390
107	168	1389
108	169	1388
109	171	1388
110	173	1385
111	174	1386
112	176	1383
113	177	1380
114	178	1377
115	180	1373
116	181	1371
117	183	1368
118	184	1365
119	185	1363
120	187	1362
121	189	1361
122	190	1360
123	192	1357
124	193	1356
125	195	1354
126	196	1351
127	198	1349
128	199	1346
129	200	1342
130	201	1338
131	203	1335
132	204	1333
133	205	1330
134	207	1327
135	208	1324
136	209	1322
137	211	1319
138	212	1316
139	213	1314
140	215	1311
141	216	1308
142	217	1306
143	219	1303
144	220	1301
145	222	1298
146	223	1296
147	224	1292
148	225	1290
149	227	1287
150	228	1284
151	229	1282
152	231	1279
153	232	1275
154	233	1272
155	234	1270
156	236	1267
157	237	1265
158	238	1263
159	240	1260
160	241	1258
161	242	1256
162	244	1253
163	245	1251
164	246	1248
165	248	1246
166	249	1244
167	250	1242
168	252	1240
169	253	1238
170	254	1236
171	256	1233
172	257	1231
173	258	1229
174	260	1226
175	261	1224
176	262	1222
177	264	1220
178	265	1218
179	266	1216
180	268	1214
181	269	1212
182	271	1210
183	272	1207
184	273	1205
185	275	1203
186	276	1201
187	277	1199
188	278	1196
189	280	1194
190	281	1192
191	282	1190
192	284	1188
193	285	1186
194	286	1184
195	288	1182
196	289	1180
197	290	1178
198	292	1176
199	293	1174
200	295	1173
201	296	1171
202	297	1169
203	299	1167
204	300	1165
205	302	1164
206	303	1162
207	304	1160
208	306	1159
209	307	1158
210	309	1156
211	310	1154
212	311	1152
213	313	1150
214	314	1148
215	316	1147
216	317	1145
217	318	1143
218	320	1142
219	322	1141
220	323	1141
221	325	1140
222	327	1140
223	328	1139
224	330	1137
225	331	1135
226	333	1134
227	334	1132
228	336	1132
229	337	1130
230	339	1128
231	340	1127
232	341	1125
233	343	1123
234	344	1122
235	346	1120
236	347	1118
237	348	1116
238	350	1115
239	351	1113
240	353	1113
241	355	1112
